CollectorId,Org,Region,Female,has.na,block,blocknum,treat,CollectorName,N,Responses
1,Engineering,EMEA,0,FALSE,_1Engineering1EMEA,1,1,Web Link 1,4,0
2,Engineering,EMEA,0,FALSE,_1Engineering1EMEA,1,0,Web Link 2,3,0
3,Engineering,AMS,0,FALSE,0-Engineering-AMS,2,1,Web Link 3,46,4
4,Engineering,AMS,0,FALSE,0-Engineering-AMS,2,0,Web Link 4,47,1
5,Services,AMS,0,FALSE,0-Services-AMS,3,1,Web Link 5,52,7
6,Services,AMS,0,FALSE,0-Services-AMS,3,0,Web Link 6,52,3
7,Services,APAC,0,FALSE,0-Services-APAC,4,1,Web Link 7,8,0
8,Services,APAC,0,FALSE,0-Services-APAC,4,0,Web Link 8,7,0
9,Services,EMEA,0,FALSE,0-Services-EMEA,5,1,Web Link 9,14,2
10,Services,EMEA,0,FALSE,0-Services-EMEA,5,0,Web Link 10,13,0
11,Engineering,AMS,1,FALSE,1-Engineering-AMS,6,1,Web Link 11,10,3
12,Engineering,AMS,1,FALSE,1-Engineering-AMS,6,0,Web Link 12,10,0
13,Services,AMS,1,FALSE,1-Services-AMS,7,1,Web Link 13,32,4
14,Services,AMS,1,FALSE,1-Services-AMS,7,0,Web Link 14,33,3
15,Services,APAC,1,FALSE,1-Services-APAC,8,1,Web Link 15,2,0
16,Services,APAC,1,FALSE,1-Services-APAC,8,0,Web Link 16,1,0
17,Services,EMEA,1,FALSE,1-Services-EMEA,9,1,Web Link 17,9,1
18,Services,EMEA,1,FALSE,1-Services-EMEA,9,0,Web Link 18,9,0
